sku,retail_price,item_title,inserted_at,store_code,availability
57387,4.99,Organic Peeled & Cooked Chestnuts,2025-06-02 00:00:07,31,0.0
171896,4.49,Sparkling Pomegranate Punch Beverage,2025-02-26 00:00:07,31,0.0
63980,7.99,Organic Fair Trade Wake Up Blend Ground Coffee,2025-02-01 00:00:06,546,1.0
57474,3.49,Thai Style Red Curry Sauce,2025-01-29 00:00:07,452,1.0
76838,4.99,Holiday Cheer Unexpected Cheddar Cheese Spread,2025-01-13 00:00:07,701,0.0
71761,3.99,Vegan Spinach & Cashew Ravioli,2025-03-26 00:00:07,546,1.0
70506,3.79,Everything And the Elote Greek Style Yogurt Dip,2025-01-14 00:00:04,31,1.0
61364,3.69,Gluten Free Mac & Cheese,2025-04-25 00:00:08,452,1.0
72221,6.99,Pink Peppermint Face & Body Mask,2025-02-24 00:00:07,452,0.0
70304,3.99,Cassava Cauliflower Blend Baking Mix,2025-02-24 00:00:07,452,0.0
95249,3.49,Baingan Bharta,2025-02-27 00:00:07,452,1.0
76605,5.49,Pumpkin Spice Mini Sheet Cake,2025-02-17 00:00:07,31,1.0
56278,1.99,Giant Baked Beans in Tomato Sauce,2025-02-02 00:00:06,452,1.0
76535,4.29,Roti with Thai Red Curry,2025-01-01 00:00:07,546,1.0
51435,5.99,Creamy Almond Butter No Salt,2025-05-27 00:00:07,31,1.0
63304,1.99,Shakshuka Starter,2025-03-08 00:00:07,701,0.0
62016,3.99,Organic Mediterranean Style Salad Kit,2025-06-03 00:00:07,452,1.0
79468,7.99,Cal Pressed California Organic Extra Virgin Olive Oil,2025-03-13 00:00:08,701,0.0
57633,4.79,Mini Quiche Duo,2024-12-16 16:17:41,31,1.0
72096,4.49,Peppermint Brownies,2025-01-28 00:00:07,452,0.0
65404,5.99,Liquid Laundry Detergent Free & Clear,2025-03-08 00:00:07,546,1.0
77191,12.99,Gran Reserva Maule Valley Chile 2020,2025-04-28 00:00:06,31,0.0
60411,1.89,Miso Instant Ramen Soup,2025-03-15 00:00:05,31,1.0
69040,3.99,Shredded Lite Mozzarella Cheese,2025-03-02 00:00:06,546,1.0
73721,4.99,Organic Jumbo Cinnamon Rolls,2025-04-22 00:00:05,31,1.0
79524,6.99,Pumpkin Spice Chardonnay,2025-02-25 00:00:07,546,0.0
71874,2.99,Focaccia Bread Mix,2025-02-11 00:00:05,701,0.0
66563,4.99,Mandarin Orange Chicken,2025-01-27 00:00:07,452,1.0
50236,2.29,Speculoos Cookies,2025-02-09 00:00:06,31,1.0
64435,4.99,Focaccia Bread with Roasted Tomato & Parmesan,2025-04-22 00:00:05,31,1.0
96399,1.29,Ciabatta Demi-Baguette,2025-01-16 00:00:05,31,1.0
34244,3.99,Fresh Cranberry Orange Relish,2025-05-27 00:00:07,701,0.0
86861,6.49,Uncured Pastrami,2025-04-01 00:00:05,701,0.0
71813,6.99,"Pound Plus Milk Chocolate Bar with Caramel, Pretzel, Sea Salt ",2025-03-01 00:00:06,701,0.0
22129,4.99,Milk Chocolate Peanut Butter Cups,2024-12-28 00:00:07,452,1.0
78081,3.99,Belgian Truffle Ballotin Box,2025-04-21 00:00:07,701,1.0
60411,1.89,Miso Instant Ramen Soup,2025-03-04 00:00:06,546,1.0
79299,4.49,Jingle Jangle for Dogs,2025-05-24 15:55:55,546,0.0
74457,9.49,Fair Trade Organic Sumatra Coffee,2025-03-07 00:00:07,31,1.0
71651,9.99,Gluten Free Breaded Shrimp,2025-03-13 00:00:08,701,1.0
78215,10.99,Blackened Salmon Seasoned Boneless Fillet,2024-12-02 02:57:13,452,0.0
70588,1.99,Cut and Peeled Carrots,2025-05-30 00:00:05,701,1.0
55005,2.99,Organic Apple Banana Fruit Sauce Crushers,2025-06-03 00:00:07,546,1.0
73814,2.99,White Miso Paste,2025-04-18 22:47:46,701,1.0
76006,1.69,Coconut Water,2025-04-27 00:00:07,452,0.0
80076,3.99,GT's Guava Paloma Agua de Kefir,2025-03-09 00:00:07,701,1.0
62093,19.99,Tequila Blanco,2024-12-28 00:00:07,452,0.0
168559,3.99,Sparkling Lemonade,2025-02-16 00:00:08,701,0.0
71776,3.99,Mini Chocolate Chip Pancake & Waffle Mix,2025-03-06 00:00:07,452,0.0
70152,10.99,Cecilia Beretta Prosecco Rosé,2025-06-01 00:00:05,546,0.0
78548,4.99,Mango Mochi,2025-02-10 00:00:06,31,0.0
72358,17.99,Parmigiano Reggiano Aged 40 Months,2025-03-29 00:00:06,546,0.0
70650,3.79,Cacio E Pepe Pasta Sauce,2025-04-22 00:00:06,452,1.0
51857,3.99,Triple Ginger Brew Sparkling Beverage,2025-02-02 00:00:07,546,0.0
77117,3.99,Eucalyptus Scented Candle,2025-05-24 15:55:55,31,0.0
50828,3.99,Sriracha Sauce,2025-02-23 00:00:08,452,1.0
57474,3.49,Thai Style Red Curry Sauce,2025-03-11 00:00:07,452,1.0
68859,5.99,Gluten Free Pumpkin Bread,2025-02-17 00:00:07,31,0.0
78121,2.99,Peanut Butter with Honey,2025-01-31 00:00:07,546,1.0
79785,24.99,Organic Grass Fed Tenderloin Steak,2025-02-24 00:00:07,452,0.0
75842,4.49,Nuts About Elote Mix,2025-02-23 00:00:07,701,0.0
71814,1.99,Hot Cocoa Ornaments,2025-02-05 00:00:06,452,0.0
78169,1.99,Something Spritzy Pineapple & Orange,2025-03-07 00:00:07,31,1.0
61875,2.69,La Colombe Triple Cold Brew Latte,2025-02-16 00:00:07,452,1.0
58923,3.99,"Sweet Corn, Burrata & Basil Ravioli",2025-04-23 00:00:07,701,1.0
52381,9.99,Cheddar Cheese with Caramelized Onions,2025-03-10 00:00:07,546,1.0
78687,4.29,Organic Tart Cherry Fruit Spread,2025-06-02 00:00:07,546,1.0
